date,discharge_m3d
2002-10-01,13945.48060962816
2002-10-02,12722.192836853761
2002-10-03,12966.85039140864
2002-10-04,26912.3310010368
2002-10-05,31805.4820921344
2002-10-06,29358.906546585604
2002-10-07,26912.3310010368
2002-10-08,23731.782791823352
2002-10-09,22019.179909939197
2002-10-10,23242.467682713603
2002-10-11,22263.83746449408
2002-10-12,21774.52235538432
2002-10-13,18593.97414617088
2002-10-14,17370.68637339648
2002-10-15,20551.234582609923
2002-10-16,21040.549691719672
2002-10-17,21285.20724627456
2002-10-18,22997.81012815872
2002-10-19,22019.179909939197
2002-10-20,22019.179909939197
2002-10-21,23242.467682713603
2002-10-22,23731.782791823352
2002-10-23,23487.12523726848
2002-10-24,23731.782791823352
2002-10-25,23731.782791823352
2002-10-26,22263.83746449408
2002-10-27,23242.467682713603
2002-10-28,26912.3310010368
2002-10-29,23242.467682713603
2002-10-30,23731.782791823352
2002-10-31,26912.3310010368
2002-11-01,34252.057637683196
2002-11-02,29358.906546585604
2002-11-03,29358.906546585604
2002-11-04,29358.906546585604
2002-11-05,29358.906546585604
2002-11-06,29358.906546585604
2002-11-07,29358.906546585604
2002-11-08,29358.906546585604
2002-11-09,26912.3310010368
2002-11-10,31805.4820921344
2002-11-11,31805.4820921344
2002-11-12,29358.906546585604
2002-11-13,29358.906546585604
2002-11-14,29358.906546585604
2002-11-15,29358.906546585604
2002-11-16,31805.4820921344
2002-11-17,29358.906546585604
2002-11-18,26912.3310010368
2002-11-19,29358.906546585604
2002-11-20,29358.906546585604
2002-11-21,29358.906546585604
2002-11-22,29358.906546585604
2002-11-23,29358.906546585604
2002-11-24,26912.3310010368
2002-11-25,29358.906546585604
2002-11-26,26912.3310010368
2002-11-27,26912.3310010368
2002-11-28,26912.3310010368
2002-11-29,26912.3310010368
2002-11-30,24465.755455488
2002-12-01,31805.4820921344
2002-12-02,26912.3310010368
2002-12-03,26912.3310010368
2002-12-04,26912.3310010368
2002-12-05,24465.755455488
2002-12-06,24465.755455488
2002-12-07,24465.755455488
2002-12-08,24465.755455488
2002-12-09,26912.3310010368
2002-12-10,29358.906546585604
2002-12-11,29358.906546585604
2002-12-12,26912.3310010368
2002-12-13,26912.3310010368
2002-12-14,26912.3310010368
2002-12-15,26912.3310010368
2002-12-16,26912.3310010368
2002-12-17,26912.3310010368
2002-12-18,26912.3310010368
2002-12-19,26912.3310010368
2002-12-20,26912.3310010368
2002-12-21,26912.3310010368
2002-12-22,24465.755455488
2002-12-23,24465.755455488
2002-12-24,24465.755455488
2002-12-25,23487.12523726848
2002-12-26,22753.152573603842
2002-12-27,22753.152573603842
2002-12-28,23487.12523726848
2002-12-29,23487.12523726848
2002-12-30,22997.81012815872
2002-12-31,22753.152573603842
2003-01-01,22263.83746449408
2003-01-02,22019.179909939197
2003-01-03,21774.52235538432
2003-01-04,21529.86480082944
2003-01-05,21040.549691719672
2003-01-06,20795.8921371648
2003-01-07,20551.234582609923
2003-01-08,20551.234582609923
2003-01-09,20551.234582609923
2003-01-10,20551.234582609923
2003-01-11,20551.234582609923
2003-01-12,20061.91947350015
