date,discharge_m3d
2002-10-01,14826.247806025727
2002-10-02,13015.781902319615
2002-10-03,11621.233841356801
2002-10-04,11205.315998613503
2002-10-05,10177.754269483008
2002-10-06,8685.34318669824
2002-10-07,7633.315702112256
2002-10-08,6410.027929337855
2002-10-09,6312.164907515905
2002-10-10,7192.932103913471
2002-10-11,22288.30321994957
2002-10-12,40123.83894700031
2002-10-13,22777.61832905933
2002-10-14,16196.330111533058
2002-10-15,14654.987517837311
2002-10-16,38655.89361967104
2002-10-17,70950.6908209152
2002-10-18,46240.27781087232
2002-10-19,36698.633183232
2002-10-20,30582.194319360002
2002-10-21,36943.290737786876
2002-10-22,37432.60584689664
2002-10-23,32784.11231035392
2002-10-24,30826.85187391488
2002-10-25,34252.057637683196
2002-10-26,127221.9283685376
2002-10-27,107893.98155870209
2002-10-28,112297.81754068991
2002-10-29,187897.00189814784
2002-10-30,349860.30301347846
2002-10-31,266676.7344648192
2002-11-01,203555.08538966018
2002-11-02,160006.04067889153
2002-11-03,134806.31255973887
2002-11-04,122573.43483199488
2002-11-05,124286.03771387904
2002-11-06,166122.47954276355
2002-11-07,142880.0118600499
2002-11-08,138720.833432617
2002-11-09,133093.70967785473
2002-11-10,124775.3528229888
2002-11-11,226797.55307237376
2002-11-12,393898.6628333568
2002-11-13,477082.23138201603
2002-11-14,391452.087287808
2002-11-15,318054.820921344
2002-11-16,362093.1807412224
2002-11-17,477082.23138201603
2002-11-18,474635.6558364672
2002-11-19,425704.14492549124
2002-11-20,362093.1807412224
2002-11-21,315608.2453757952
2002-11-22,269123.310010368
2002-11-23,226797.55307237376
2002-11-24,200374.53718044673
2002-11-25,180067.96015239166
2002-11-26,163186.58888810495
2002-11-27,149730.42338758655
2002-11-28,138720.833432617
2002-11-29,131136.44924141568
2002-11-30,124286.03771387904
2002-12-01,115233.70819534849
2002-12-02,107404.66644959232
2002-12-03,102022.20024938496
2002-12-04,95416.44627640319
2002-12-05,107893.98155870209
2002-12-06,88076.71963975679
2002-12-07,78290.4174575616
2002-12-08,83183.5685486592
2002-12-09,86364.11675787265
2002-12-10,79513.705230336
2002-12-11,151443.02626947072
2002-12-12,155846.86225145854
2002-12-13,198172.6191894528
2002-12-14,291142.48992030724
2002-12-15,283802.7632836608
2002-12-16,271569.8855559168
2002-12-17,243434.26678210558
2002-12-18,218479.19621750785
2002-12-19,202576.45517144064
2002-12-20,411024.69165219844
2002-12-21,420810.99383439356
2002-12-22,403684.96501555206
2002-12-23,359646.6051956736
2002-12-24,366986.33183231996
2002-12-25,440383.59819878405
2002-12-26,354753.454104576
2002-12-27,305821.9431936
2002-12-28,274016.46110146557
2002-12-29,247104.13010042883
2002-12-30,223127.68975405057
2002-12-31,206735.6335988736
2003-01-01,567605.5265673216
2003-01-02,775564.4479389697
2003-01-03,707060.3326636032
2003-01-04,596964.4331139072
2003-01-05,521120.5912018944
2003-01-06,457509.6270176256
2003-01-07,393898.6628333568
2003-01-08,349860.30301347846
2003-01-09,308268.5187391488
2003-01-10,269123.310010368
2003-01-11,236339.19770001408
2003-01-12,210650.15447175168
2003-01-13,194013.44076201983
2003-01-14,179578.64504328195
2003-01-15,166122.47954276355
2003-01-16,146794.532732928
2003-01-17,134561.655005184
2003-01-18,119882.2017318912
2003-01-19,107649.3240041472
2003-01-20,114989.0506407936
2003-01-21,107649.3240041472
2003-01-22,102756.1729130496
