date,discharge_m3d
2002-10-01,271569.8855559168
2002-10-02,247104.13010042883
2002-10-03,271569.8855559168
2002-10-04,259337.0078281728
2002-10-05,261783.58337372163
2002-10-06,244657.55455488001
2002-10-07,243434.26678210558
2002-10-08,239030.43080011776
2002-10-09,229244.12861792254
2002-10-10,216521.93578106878
2002-10-11,205757.00338065406
2002-10-12,195481.38608934917
2002-10-13,184227.13857982465
2002-10-14,180801.93281605633
2002-10-15,170526.31552475135
2002-10-16,166611.79465187326
2002-10-17,161963.30111533057
2002-10-18,155602.2046969037
2002-10-19,148262.4780602573
2002-10-20,144347.9571873792
2002-10-21,141412.06653272064
2002-10-22,141901.3816418304
2002-10-23,165143.849324544
2002-10-24,170526.31552475135
2002-10-25,157804.1226878976
2002-10-26,152910.9715968
2002-10-27,168324.39753375744
2002-10-28,159027.410460672
2002-10-29,163920.5615517696
2002-10-30,159516.72556978176
2002-10-31,167590.4248700928
2002-11-01,171260.288188416
2002-11-02,181291.2479251661
2002-11-03,148507.13561481217
2002-11-04,151687.6838240256
2002-11-05,146549.87517837313
2002-11-06,134806.31255973887
2002-11-07,143369.32696915968
2002-11-08,149241.1082784768
2002-11-09,203065.7702805504
2002-11-10,172483.5759611904
2002-11-11,160006.04067889153
2002-11-12,140188.77875994623
2002-11-13,157559.46513334272
2002-11-14,149241.1082784768
2002-11-15,143858.64207826945
2002-11-16,127955.90103220224
2002-11-17,138965.49098717183
2002-11-18,136029.60033251328
2002-11-19,128934.53125042176
2002-11-20,133338.3672324096
2002-11-21,135784.9427779584
2002-11-22,138231.51832350722
2002-11-23,142880.0118600499
2002-11-24,137497.54565984255
2002-11-25,137252.88810528768
2002-11-26,118169.59885000704
2002-11-27,101532.8851402752
2002-11-28,115233.70819534849
2002-11-29,129913.16146864128
2002-11-30,127955.90103220224
2002-12-01,135784.9427779584
2002-12-02,124530.69526843392
2002-12-03,122818.09238654976
2002-12-04,115967.68085901311
2002-12-05,123796.7226047693
2002-12-06,115478.36574990337
2002-12-07,111563.84487702529
2002-12-08,108138.63911325697
2002-12-09,91991.24051263487
2002-12-10,86853.4318669824
2002-12-11,93703.84339451903
2002-12-12,111074.52976791552
2002-12-13,117435.62618634242
2002-12-14,102756.1729130496
2002-12-15,110340.55710425087
2002-12-16,106181.37867681793
2002-12-17,111074.52976791552
2002-12-18,106915.35134048258
2002-12-19,93214.52828540927
2002-12-20,81960.2807758848
2002-12-21,110095.899549696
2002-12-22,87587.40453064704
2002-12-23,70706.03326636032
2002-12-24,97863.021821952
2002-12-25,102511.51535849473
2002-12-26,90767.95273986048
2002-12-27,93459.18583996418
2002-12-28,92480.55562174464
2002-12-29,100798.91247661055
2002-12-30,101043.57003116544
2002-12-31,86119.45920331776
2003-01-01,105202.74845859839
2003-01-02,87342.74697609217
2003-01-03,97618.36426739712
2003-01-04,104713.43334948864
